user_id,anchor_news_id,news_id,rank,method,lambda
U48561,N26063,N7434,1,hybrid_mmr,0.7
U48561,N26063,N11289,2,hybrid_mmr,0.7
U48561,N26063,N25556,3,hybrid_mmr,0.7
U48561,N26063,N1166,4,hybrid_mmr,0.7
U48561,N26063,N1641,5,hybrid_mmr,0.7
U48561,N26063,N56458,6,hybrid_mmr,0.7
U48561,N26063,N13347,7,hybrid_mmr,0.7
U48561,N26063,N30335,8,hybrid_mmr,0.7
U48561,N26063,N19685,9,hybrid_mmr,0.7
U48561,N26063,N1484,10,hybrid_mmr,0.7
U48152,N33486,N11681,1,hybrid_mmr,0.7
U48152,N33486,N41658,2,hybrid_mmr,0.7
U48152,N33486,N56132,3,hybrid_mmr,0.7
U48152,N33486,N33297,4,hybrid_mmr,0.7
U48152,N33486,N12769,5,hybrid_mmr,0.7
U48152,N33486,N4905,6,hybrid_mmr,0.7
U48152,N33486,N13347,7,hybrid_mmr,0.7
U48152,N33486,N26063,8,hybrid_mmr,0.7
U48152,N33486,N45612,9,hybrid_mmr,0.7
U48152,N33486,N3380,10,hybrid_mmr,0.7
U12176,N45612,N48633,1,hybrid_mmr,0.7
U12176,N45612,N19065,2,hybrid_mmr,0.7
U12176,N45612,N19685,3,hybrid_mmr,0.7
U12176,N45612,N14914,4,hybrid_mmr,0.7
U12176,N45612,N44777,5,hybrid_mmr,0.7
U12176,N45612,N24349,6,hybrid_mmr,0.7
U12176,N45612,N5761,7,hybrid_mmr,0.7
U12176,N45612,N18085,8,hybrid_mmr,0.7
U12176,N45612,N11041,9,hybrid_mmr,0.7
U12176,N45612,N36230,10,hybrid_mmr,0.7
U85612,N33486,N45612,1,hybrid_mmr,0.7
U85612,N33486,N26063,2,hybrid_mmr,0.7
U72286,N436,N10657,1,hybrid_mmr,0.7
U72286,N436,N26537,2,hybrid_mmr,0.7
U72286,N436,N8114,3,hybrid_mmr,0.7
U72286,N436,N31289,4,hybrid_mmr,0.7
U72286,N436,N18868,5,hybrid_mmr,0.7
U72286,N436,N62247,6,hybrid_mmr,0.7
U72286,N436,N11289,7,hybrid_mmr,0.7
U72286,N436,N17228,8,hybrid_mmr,0.7
U72286,N436,N21312,9,hybrid_mmr,0.7
U72286,N436,N61428,10,hybrid_mmr,0.7
U15414,N14507,N1477,1,hybrid_mmr,0.7
U15414,N14507,N26063,2,hybrid_mmr,0.7
U15414,N14507,N11130,3,hybrid_mmr,0.7
U15414,N14507,N21444,4,hybrid_mmr,0.7
U15414,N14507,N5239,5,hybrid_mmr,0.7
U15414,N14507,N28775,6,hybrid_mmr,0.7
U15414,N14507,N10210,7,hybrid_mmr,0.7
U15414,N14507,N58443,8,hybrid_mmr,0.7
U15414,N14507,N34553,9,hybrid_mmr,0.7
U15414,N14507,N26305,10,hybrid_mmr,0.7
U24075,N436,N21843,1,hybrid_mmr,0.7
U24075,N436,N62247,2,hybrid_mmr,0.7
U24075,N436,N61428,3,hybrid_mmr,0.7
